,review
103,"I purchased vouchers to gift my team, it was valid for 6 months. I had so much of issues to redeem. And when the voucher was about to expire, they never answered my call and waited till it was expired. Poor service. I don't think this feedback will reach them as they are least bothered about customers. I will never buy Domino's."
104,"I place my order on the Domino's app at 1:46pm for the Berea, OH location on 12/12/21. At 2:25 the tracker showed the order completed. At 3:05 I called the store & the mgr said he hadn’t had time to call me to tell me they had no drivers or to refund my order! Seriously?!"
105,"I want to sue them. They didn't deliver their food right to our door but they didn't. Now my mom won't order food from there ever again because of them. I want them back and also it happens every time she orders it. I want this pizza place gone forever and it will never come back. It's disgraceful for me, mom and dad"
106,"Went to the Bideford Branch,,,, Spent £22 and was charged on my card £42. After a sincere apology, I asked for refund on my card but 'they' are not allowed to. 'A Manager' told me not to worry it would be in my account the next day. I asked for some evidence of the overcharge... After a lot of huffing I got my receipt and card payment with a scribble... Refund due."
107,"Ordered a pizza from our local Domino's. It arrived cold and was not edible. On top of that, they charged a delivery fee of over $3.00. The total order came to more than $13 and wasn't worth anything. We would never order from this company again."
108,"The Domino's located at 13410 Preston Rd, Dallas, TX 75254 has the worst customer service ever! The last time we ordered pizza we were notified that our pizza had been delivered but no pizza. Call the store and are told it is on its way. We live less than 5 miles from the store. Over 30 more minutes past before the pizza arrived. We order 1 pizza and some wings. Tonight we ordered the same thing, pizza and wings. We get a notification that says that the pizza is on the way. Almost an hour later, no pizza. Call the store and get the run around about where the pizza is. Ask for a manager. The manager refuses to get on the phone. Ask for a name and/or number for a regional/district manager and we are told they can't give out personal information. Asked how it is personal when they are running a business and are told call 1-800- Dominos. 30 minutes after this conversation, pizza arrives and was sent back."
109,Worstest service ever. I have visited store order for veg paradise. They given cheese pizza which is disgusting. Customer service gave only reason when we called. After payment bill was not given. 2 days before we order online payment done and last minute order cancel and refund will after 7 to 9 working days. Is this bank or store **.
110,The pizza was cold and tasteless. I wanted extra sauce and didn't get it. The person that delivered it had an attitude. It was the worse experience ever. The cheese taste like cardboard and the price was high.
111,Domino's has loads of customer. That's why delivery staff talking rudely behavior and store management also staff same less services and cancel my order. No one order dominos product order other food com
112,"So first they **. They don't wear gloves while they cooking the food, they was fighting in the back, one of them dropped the pizza on the FLOOR and picked it up and put it in the oven like it never happened. This is the LAST time I will be eating from Domino's and suggest you do the same."
113,"Domino's Pizza in Redlands, CA. Located at 107 E Colton Ave STE 100 City of Redlands in San Bernardino County. The pizza crust was burnt & the bacon. The manager was rude when I went in the next day with the actual pizza in the box to show her how burnt it was. She had the nerve to stand there & argue with me and tell me it wasn't burnt. My bf & I barely ate a slice each. The same night after I picked up the burnt pizza I called Domino's and told one of the employees that it was burnt & he gave me a $8 credit on my account which is kept on record by your phone number. So today I had decided to use that coupon & order another Pizza & when I drove there to pick it up that's when the female manager was rude and had no customer service manners at all."
114,"I usually loves Domino's Pizza but last night I ordered cheesy pasta and I was not taste up to expectations, so I reviewed that way. Next day they called me for closed the feedback, is it right way?? Feedback means to for every customer who is going to buy from your outlet... I'm getting this appropriate."
115,I ordered paneer makhani pizza from sector 15 chandigarh. It was delivered after more than 55 min and was too cold. Moreover no ketchup was served with the pizza. I have to throw that pizza. Very worst experience.
116,"I ordered pizza from Domino's and the delivery person could not wait for 5 minutes completely and yell at me so badly over the phone. Also, he literally dropped pizza boxes outside the building door. I am glad I was on the other side of the locked door, otherwise, it was not a safe experience at all. It is not about earning back a refund complaining, anyway I had to throw away that Pizza. I wish I could attach the image here. From now onwards I am not considering domino's as a Pizza option."
117,"Pre-ordered 6 pizzas for delivery at 6:30 pm. Was called at 6:15 pm to tell me they were cancelling my order. I asked to speak to the manager and was hung up on. I called back three times to be hung up on each time. Terrible management - terrible service! Do not order from the Circle Pines location. (9730 Lexington Ave, Circle Pines, Mn) I never will again!"
118,I was calling Domino's to ask them a question and they were just being really rude and disrespectful and fricken hung up on me after I was done asking them. That's what I call horrible service. Like what kind of company literally hangs up on someone for asking a question. Not even that! I was asking if I could pick it up. I was being all nice about it too. Just hang up on me.
119,I ordered a chicken caesar salad for delivery with my pizza. They called me saying they didn't have anymore of chicken caesar salad but they have garden salad so I said ok so just refund the difference back to my card. They said that the garden salad is the same price but how is that when chicken is more expensive to add to something. What a rip off!
120,We gone to Domino's Pizza near grand mall. First when we enter one man was not responding. We are asking about where to order. But they are laughing and talking with someone and never responding. But the food was amazing. For that only I gave 3 stars if not you will be losing the three stars. Please make it right to be a best. When the person enters you should be serious. Ok make it right. All the best.
121,"Worst experience with Domino's staff and quality of pizza. We went to two restaurant of domino's. First we go to Jail Road. They refuse to take our order at 8:30 pm, because they were having so over worked these type of people you having in customer dealing very bad impression. Then we go to Tilak Nagar restaurant. There we wait for 40min for our order and get spoiled pizza on asking for ketchup they said ketchup is out of stock now. We people feel like fools who spent 500rs for spoiling our mood by eating pathetic pizza. They didn't give us bill. What type of services these brand giving."
122,Ordered 4 cheese pizza with extra cheese but the pizza just had only extra cheese and no other type of cheese was there from these four cheese. If you can't maintain quality then stop showing your ads bloody everywhere.
123,"Just wanted to say that their pizza is great. But if you let it sit for longer than 30 minutes in the box, it sticks to the box so that you can't even pick up the remaining pieces. So you can lose up to 75% of the pizza to the box it sticks to!"
124,I ordered the Hawaiian pizza. It was so undercooked. The die was wet and fell apart. They also stopped their 2 minute timer after 24 seconds and took another 35 seconds to get out to my car. I asked why they stopped it and he laughed and gave me bullcrap excuse.
125,"I ordered about 40 dollars worth of food one evening around 8pm and about ten minutes after I placed the order online, I get a call. They have no delivery drivers, so I was not getting my order. Then he promptly hung up on me. When I called back to ask for a refund of my money, he hung up on me again. This happened at least 5 times before I gave up. So I called Pizza Hut. Much better company."
126,"I'm allergic to a protein in cow's milk and therefore cannot eat cheese. I ordered a pizza from Domino's and drove and picked it up. Drove home and opened the box, it was covered with cheese. I called the store, sat on hold, got hung up on (I know they hung up, because I saw the manager do it while I was in the store). Drove back to the store with the incorrect pizza and my receipt. I asked for the manager, he came up. Asked what was wrong, I told him. He said, ""Oh yeah, I just looked at it real fast and missed that. I'll make you another one."" He made a new pizza, put it in the oven and left. The employee in the front got my new pizza out of the oven, cut it, put it in a box, and gave it to me. No customer service AT ALL. No, ""We're sorry,"" no nothing. I'm gonna give Marco's Pizza down the street a try next time."
127,The pizza was burnt or too spicy. We are very disappointed and this is not the first time. This is the last time we are going to order from Domino's. I know other people who were also disappointed with their food.
128,Do not order from them!! We have been and always late. But this time no delivery. Ordered at 9pm and called at10 pm no answer. My account was charged and credited but everyone is still hungry!! Never again.
129,"We ordered our pizzas at 2 pm for 5 pm. At 5:15 we TRIED to call the store, waited on phone for 35 minutes! By chance we got another call in call waiting at 5:45. It was the store on 16 th Ave in Conway South Carolina. Whoopy, telling us that our pizza was waiting for an hour to be delivered in another 3-4 hours! First this notice was already 45 minutes late! And on top we should wait another 3-4 hours for a cold pizza? This absolutely sucks. Trust me, this was the very last time I ordered from your company. I asked politely to cancel my order, reimburse our money and ordered from a local pizzeria. Thanks for absolute horrid customer service. I’ll tell that story to whoever wants to hear it. Furthermore I’ll leave my reviews where ever I can post it, Yelp, Yellow Pages etc.!!!!"
130,"I've been trying to redeem my free pizza online for over a week in app and I keep generic ""checkout error"" on website. It's ""We are sorry but an error has occurred. Please try again momentarily."" And to contact the store but they can't help me redeem pizza since it needs to be done online. So I decided to contact Domino's customer service number. They too couldn't help me even after giving them access to my account and they seeing free pizza. They also received same error message. I'm currently quarantined due to Covid. In financial distress as most of us are. And can't even redeem a free pizza I earned through points. Highly disappointed."
